Step,Index,Dialog,Action,Map
mulaiBerinvestasi_entitasSyaratDanKetentuan,1,"Dengan menggunakan platform MONA, Anda telah menyetujui  syarat dan ketentuan yang berlaku.",,
mulaiBerinvestasi_validasiSyaratKetentuan,1,Dengan menggunakan platform {bot_name}. {first_name} telah menyetujui syarat dan ketentuan yang berlaku.,QR,"Setuju,Setuju#Tidak Setuju,Batal"
mulaiBerinvestasi_validasiSyaratKetentuan,2,Yay! Yuk kita mulai dengan memahami profil {first_name} terlebih dahulu sebelum kita mencoba simulasi Life Goal {first_name} sesaat lagi. \nBerapakah umur {first_name} sekarang?,,
mulaiBerinvestasi_entitasUmur,1,Yay! Yuk kita mulai dengan memahami profil {first_name} terlebih dahulu sebelum kita mencoba simulasi Life Goal {first_name} sesaat lagi. \nBerapakah umur {first_name} sekarang?,,
mulaiBerinvestasi_validasiUmur,1,{bot_name} suka banget sama semangat {first_name} yang ingin memulai investasi di usia semuda sekarang! salut! Tetapi &#44; mengingat umur {first_name} yang masih berjiwa muda banget nih &#44; ada baiknya kita memulai dengan belajar investasi terlebih dahulu ya ??,QR,"Belajar Investasi, belajar berinvestasi sekarang"
mulaiBerinvestasi_validasiUmur,2,"Maaf {first_name}, {bot_name} belum bisa mengerti umur yang Kamu maksud nih. Coba tuk masukkan angka ya \nBerapakah umur {first_name} sekarang?",,
mulaiBerinvestasi_validasiUmur,3,Apa {first_name} sudah menikah?,QR,"Belum, 0#Sudah, 1"
mulaiBerinvestasi_entitasStatusPerkawinan,1,Apa {first_name} sudah menikah?,QR,"Belum, 0#Sudah, 1"
mulaiBerinvestasi_validasiStatusPerkawinan,1,Apa {first_name} sudah menikah?,QR,"Belum, 0#Sudah, 1"
mulaiBerinvestasi_validasiStatusPerkawinan,2,Sekarang {bot_name} ingin tau kebiasaan menabung {first_name}. \nBerapa kisaran pendapatan bulanan {first_name} saat ini?,QR,"Kurang dari Rp. 15 juta, 1#Rp. 15 juta - 35 juta, 2#Rp. 15 juta - 35 juta, 2#Lebih dari Rp. 35 juta, 3"
mulaiBerinvestasi_entitasPendapatan,1,Sekarang {bot_name} ingin tau kebiasaan menabung {first_name}. \nBerapa kisaran pendapatan bulanan {first_name} saat ini?,QR,"Kurang dari Rp. 15 juta, 1#Rp. 15 juta - 35 juta, 2#Rp. 15 juta - 35 juta, 2#Lebih dari Rp. 35 juta, 3"
mulaiBerinvestasi_validasiPendapatan,1,Sekarang {bot_name} ingin tau kebiasaan menabung {first_name}. \nBerapa kisaran pendapatan bulanan {first_name} saat ini?,QR,"Kurang dari Rp. 15 juta, 1#Rp. 15 juta - 35 juta, 2#Rp. 15 juta - 35 juta, 2#Lebih dari Rp. 35 juta, 3"
mulaiBerinvestasi_validasiPendapatan,2,Berapa persen dari pendapatan {first_name} yang biasanya ditabung?,QR,"Kurang dari 10%, 1#sekitar 10%-30%, 2#lebih dari 30%, 3"
